存储桶名称,地域,存储类型,存储桶创建时间,冗余类型（LRS-本地冗余｜ZRS-同城冗余）,版本控制,传输加速,容量,容量（Byte）,标准型存储量,标准型存储量（Byte）,低频型计费存储量,低频型计费存储量（Byte）,归档型计费存储量,归档型计费存储量（Byte）,冷归档型计费存储量,冷归档型计费存储量（Byte）,深度冷归档型计费存储量,深度冷归档型计费存储量（Byte）,本月公网流量,本月公网流量（Byte）,本月请求次数,标签,读写权限,
nigeria-front-config,oss-eu-west-1,Standard,Mon Jan 19 10:25:25 CST 2026,ZRS,Disabled,Disabled,190.0Byte,190,190.0Byte,190,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1109,"{""nigeria"":""后端""}",private,
read-inside-to-get-your-data-back,oss-eu-west-1,Standard,Mon Aug 03 03:22:44 CST 2026,LRS,Disabled,Disabled,1.232KB,1262,1.232KB,1262,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1109,--,private,
we-have-your-nigeria-ghana-loan-data,oss-eu-west-1,Standard,Mon Aug 03 03:22:41 CST 2026,LRS,Disabled,Disabled,1.232KB,1262,1.232KB,1262,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1109,--,private,
your-loan-records-can-be-returned-here,oss-eu-west-1,Standard,Mon Aug 03 03:22:35 CST 2026,LRS,Disabled,Disabled,1.232KB,1262,1.232KB,1262,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1109,--,private,
b3w0h6g5l7b0,oss-eu-central-1,Standard,Mon Aug 03 12:47:20 CST 2026,ZRS,Disabled,Disabled,103.0Byte,103,103.0Byte,103,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,162.849KB,166757,2683,"{""nigeria"":""573""}",private,
k7f0m3o9v0b0,oss-eu-central-1,Standard,Mon Aug 03 12:33:07 CST 2026,ZRS,Disabled,Disabled,212.0Byte,212,212.0Byte,212,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,11.602KB,11880,1196,"{""nigeria"":""567""}",private,
m0e3x4z3c0,oss-eu-central-1,Standard,Mon Aug 03 12:38:58 CST 2026,ZRS,Disabled,Disabled,101.0Byte,101,101.0Byte,101,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1.678MB,1760026,18490,"{""nigeria"":""572""}",private,
nigeria-backend-admin-pro,oss-eu-central-1,Standard,Wed Mar 18 20:13:57 CST 2026,ZRS,Disabled,Disabled,55.273MB,57957741,55.273MB,57957741,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1054,--,public-read,
nigeria-backend-app-pro,oss-eu-central-1,Standard,Tue Mar 10 10:25:40 CST 2026,ZRS,Disabled,Disabled,25.188MB,26411936,25.188MB,26411936,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1070,"{""nigeria"":""后端""}",public-read,
nigeria-backend-order-pro,oss-eu-central-1,Standard,Tue Mar 10 10:01:55 CST 2026,ZRS,Disabled,Enabled,275.529GB,295846915672,275.529GB,295846915672,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1068,"{""nigeria"":""后端""}",public-read,
p6s2t3k5d2q9,oss-eu-central-1,Standard,Mon Aug 03 12:35:22 CST 2026,ZRS,Disabled,Disabled,99.0Byte,99,99.0Byte,99,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,117.756KB,120582,2272,"{""nigeria"":""569""}",public-read,
s5q2w6v6v6,oss-eu-central-1,Standard,Mon Aug 03 12:06:28 CST 2026,ZRS,Disabled,Disabled,96.0Byte,96,96.0Byte,96,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,841.5KB,861696,10030,"{""nigeria"":""571""}",private,
th-core,oss-ap-southeast-7,Standard,Mon Aug 18 18:11:21 CST 2025,LRS,Disabled,Disabled,3.72GB,3993950892,3.72GB,3993950892,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1102,--,public-read,
th-device-pro,oss-ap-southeast-7,Standard,Mon Aug 18 18:11:53 CST 2025,LRS,Disabled,Disabled,1.88GB,2018219495,1.88GB,2018219495,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1102,--,public-read,
th-order-pro,oss-ap-southeast-7,Standard,Mon Aug 18 18:12:16 CST 2025,LRS,Disabled,Disabled,24.663GB,26481273122,24.663GB,26481273122,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1102,--,public-read,
ojk-bucket,oss-ap-southeast-5,Standard,Tue Aug 11 10:08:32 CST 2026,ZRS,Disabled,Disabled,22.121GB,23752488180,22.121GB,23752488180,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1069,--,private,
espay-pro,oss-ap-southeast-1,Standard,Sun Apr 27 16:08:11 CST 2025,ZRS,Disabled,Disabled,108.787GB,116808706481,108.787GB,116808706481,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1045,--,public-read,
india-filess-new-bak,oss-ap-southeast-1,Archive,Mon Aug 11 18:00:55 CST 2025,ZRS,Disabled,Disabled,390.182GB,418955040611,0.0Byte,0,0.0Byte,0,869.34GB,933446834479,0.0Byte,0,0.0Byte,0,0.0Byte,0,1369,--,private,
lk-core,oss-ap-southeast-1,Standard,Wed Nov 06 14:39:33 CST 2024,ZRS,Disabled,Disabled,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1041,--,public-read,
lk-device,oss-ap-southeast-1,Standard,Wed Nov 06 11:49:49 CST 2024,ZRS,Disabled,Disabled,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1041,--,public-read,
lk-order,oss-ap-southeast-1,Standard,Wed Nov 06 11:49:00 CST 2024,ZRS,Disabled,Disabled,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1041,--,public-read,
loan-core-data-india-sg-bak,oss-ap-southeast-1,Archive,Mon Aug 11 18:00:19 CST 2025,ZRS,Disabled,Disabled,460.744GB,494720440630,0.0Byte,0,0.0Byte,0,483.263GB,518899945397,0.0Byte,0,0.0Byte,0,0.0Byte,0,1369,--,public-read,
oss-copy-ng,oss-cn-beijing,Standard,Thu Aug 20 15:04:55 CST 2026,ZRS,Disabled,Enabled,233.027GB,250211024784,233.027GB,250211024784,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,174,--,private,
oss-nigeria-pro-copy,oss-cn-beijing,Standard,Mon Aug 24 16:37:32 CST 2026,ZRS,Disabled,Disabled,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,188,--,private,
loan-sg-test-2024,oss-cn-hongkong,Standard,Thu Aug 08 13:23:54 CST 2024,ZRS,Disabled,Disabled,156.32MB,163913292,156.32MB,163913292,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1041,--,public-read,
loan-sg-test-device-data-2024,oss-cn-hongkong,Standard,Thu Aug 08 13:26:05 CST 2024,ZRS,Disabled,Disabled,1.756GB,1885001402,1.756GB,1885001402,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1041,--,public-read,
